video_id,comments
CDEDi0aO8aM,[]
asIEVa2di3c,[]
KCGtr5sKhhA,[]
rUTSX4B-P1k,[]
77vF8P1I_t4,[]
bPP4hXnq98U,[]
jIOIJvY1sVM,[]
Ovs6Jt9D_js,[]
2NCtl0MH2Q8,[]
-FZjsB99VrQ,[]
XyZ5kKVEaMA,[]
nAYnosGNVAI,[]
IZUNGlFDZMo,[]
rtdJewSiquM,[]
mGWQ1QHjBX8,[]
bv3uieQIl2w,[]
tCNv3HITGHc,[]
uBHunZvIFPU,[]
KwjM7CcIEo0,[]
upgH7APAOsA,[]
EJCZpDhOKBs,[]
CpRh0SuHrRA,[]
3Lk1hAY4-Iw,[]
Ga4Xs0rwTeE,[]
ijoGe2d5t48,[]
P2-FgWf-1bU,[]
ANrAWh309iU,[]
w3eYALqsgXM,[]
l15yL_QiPmA,[]
qc6xeXbZXHM,[]
VEkplxiTXk8,[]
pQRm6H10WeY,[]
enb7QCodsWM,[]
vmrxqjpGKjc,[]
dr4a2PJ6YTk,[]
tR4Cu7lCEFQ,[]
RSt0s4qebWU,[]
t-U33UT2I1E,[]
sIoaeUszm0k,[]
ompO6Xf82yQ,[]
UcRGYF9-jCI,[]
7dIr0wN3Z3Y,[]
12ghJ9BlKOQ,[]
rE2w1Wo1cxM,[]
gTvc0FQ5jMg,[]
Tf2jN41j2B8,[]
-e5nw0tayMo,[]
oIBHCbTV-2k,[]
_Z0pw5Zsmxg,[]
kNauWgvDKIo,[]
phaVhjIxgTg,[]
vgpKJAp7xIQ,[]
HlfAr3GI9uw,[]
1HfOeaSeWZ4,[]
oLlhekguQBQ,[]
HXfYmGP6yGs,[]
wsNM0ickuUA,[]
zEVSz1ucsyU,[]
SJkclotZSSk,[]
F74yX5myL2M,[]
QDWhzPLWypU,[]
x8wvIw2OHFc,[]
lxp1d58Y4Hw,[]
AnucWLH5qoo,[]
U1vNk2jsBes,[]
EqSSYjY9hRY,[]
kCY4giYtMKM,[]
bDbypHtVmpk,[]
etrk9LpMRY0,[]
_Sbklvu_asU,[]
bqofqG-vsbc,[]
V9jXDaE530U,[]
hs_s9T-oSBU,[]
qR1B2vlnCls,[]
9iWA7_venNA,[]
jbTaOAGGAN4,[]
OeYrvtY_cTc,[]
eeSJzUKnWSU,[]
g9-7s445how,[]
6z4etoR_vZ0,[]
g_lBUX6Po1s,[]
9seLcP8H1EE,[]
tZtS2fbg5mk,[]
jXJ3Ddsjo_w,[]
Z4R-oUQ-qgQ,[]
MiD50FQkv6g,[]
EVtD-M1g2Co,[]
7AtYLxwwwug,[]
Rbser8w9vhg,[]
C8c6QgvolHU,[]
2iF-YDP_ZqA,[]
VD6TnpPr0ZE,[]
Bx2Fm0K-01c,[]
ylMhdBGtkXk,[]
OdvYBvexhJQ,[]
VDk_xtv2qmw,[]
db5G5RVAGO8,[]
kzI2rpcIR5o,[]
CjDtBcVCPnU,[]
vhbf1XEtgFg,[]
SX8g-dIheEw,[]
dsUOavWSpN4,[]
ouM1WDboq6c,[]
D3Fj9yM8AOY,[]
ipMNucukx_E,[]
YlP6ZANEIKg,[]
rM4gRiEVwP4,[]
-d3EUyvJg8s,[]
7IVl7qaH_HU,[]
AYC8au6azKs,[]
6SjdKBUkA6k,[]
aj1jSCd_ZzU,[]
vWemCC84mJ8,[]
Mwzy9VFkD0I,[]
LGFDb26KDeI,[]
cMUAcyJfAUE,[]
xqTv9tdGA-U,[]
WlYsEAP1ePk,[]
nYdFpgJHg84,[]
6ZBsB1bQcMQ,[]
8T7H-zXGWqQ,[]
a8377fx77rQ,[]
jmwvfvzd-Zs,[]
hV6leYzc9iE,[]
vC6ZZGiTqeA,[]
QE0T_nemOUk,[]
nEL88koLf90,[]
1Ubi3P-64uQ,[]
r4dnj7nKSzE,[]
cYdlkahmOio,[]
zXbQJFY835o,[]
JHn3MCLLAI8,[]
LgDBkCxB11k,[]
wfIIUL-cABA,[]
zTvt663eV_A,[]
iHZRQD-bQD8,[]
hVDnNUUtL0I,[]
oyaQHmKCBGY,[]
